20 46
Oradea 120 10
Zerind 95 60
Arad 80 110
Timisoara 82 218
Lugoj 135 248
Mehadia 138 318
Drobeta 135 390
Sibiu 200 165
Rimnicu-Vilcea 215 235
Craiova 225 395
Fagaras 298 170
Pitesti 303 305
Giurgiu 375 405
Bucharest 395 328
Urziceni 465 308
Hirsova 563 308
Eforie 593 388
Vaslui 548 175
Iasi 518 100
Neamt 405 55
Oradea 71 Zerind
Oradea 151 Sibiu
Zerind 71 Oradea
Zerind 75 Arad
Arad 75 Zerind
Arad 140 Sibiu
Arad 118 Timisoara
Timisoara 118 Arad
Timisoara 111 Lugoj
Lugoj 111 Timisoara
Lugoj 70 Mehadia
Mehadia 70 Lugoj
Mehadia 75 Drobeta
Drobeta 75 Mehadia
Drobeta 120 Craiova
Sibiu 151 Oradea
Sibiu 140 Arad
Sibiu 99 Fagaras
Sibiu 80 Rimnicu-Vilcea
Rimnicu-Vilcea 80 Sibiu
Rimnicu-Vilcea 97 Pitesti
Rimnicu-Vilcea 146 Craiova
Craiova 146 Rimnicu-Vilcea
Craiova 120 Drobeta
Craiova 138 Pitesti
Fagaras 99 Sibiu
Fagaras 211 Bucharest
Pitesti 87 Rimnicu-Vilcea
Pitesti 138 Craiova
Pitesti 101 Bucharest
Bucharest 101 Pitesti
Bucharest 211 Fagaras
Bucharest 90 Giurgiu
Bucharest 85 Urziceni
Giurgiu 90 Bucharest
Urziceni 85 Bucharest
Urziceni 142 Vaslui
Urziceni 98 Hirsova
Neamt 87 Iasi
Iasi 87 Neamt
Iasi 92 Vaslui
Vaslui 92 Iasi
Vaslui 142 Urziceni
Hirsova 98 Urziceni
Hirsova 86 Eforie
Eforie 86 Hirsova
